taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,Phylum,Class,Order,Family,Genus,Species,High Quality,Is Public,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Geographic Location,Habitat,Isolation Country,Genome Size  * assembled,Gene Count  * assembled,Genome,...27,Name,Name2,Genome_name,GH_total_abundance,ABC_total_abundance,ABC_GH_ratio
3006741985,Bacteria,Permanent Draft,Bacillus sp. C11 genome sequencing,Bacillus sp. C11,Chung-Ang Univiersity,3006741985,p__Bacillota,c__Bacilli,o__Bacillales_B,DSM-18226,g__Neobacillus_A,s__Neobacillus_A terrae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,South Korea: Gangwon-do,NA,South Korea,5500496,5777,Bacillus,NA,sp.,NA,Bacillus sp.,9,46,5.111111111111111
2837691374,Bacteria,Permanent Draft,Flaviaesturariibacter aridisoli 17J68-15 genome sequencing,Flaviaesturariibacter aridisoli 17J68-15,Seoul Womens University,2837691374,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,Chitinophagaceae,g__Flaviaestuariibacter,s__Flaviaestuariibacter aridisoli,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,South Korea: Seoul,NA,South Korea,4374430,3860,Flaviaesturariibacter,NA,aridisoli,NA,Flaviaesturariibacter aridisoli,14,4,0.2857142857142857
8031798091,Bacteria,Permanent Draft,Sequencing as part of the Soil Listeria project,Listeria immobilis FSL L7-1558,Cornell University,8031798091,p__Bacillota,c__Bacilli,o__Lactobacillales,Listeriaceae,g__Listeria,s__Listeria immobilis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,USA: MT,NA,USA,2936351,3037,Listeria,NA,immobilis,NA,Listeria immobilis,11,41,3.727272727272727
2744054794,Bacteria,Permanent Draft,Paenibacillus glacialis DSM 22343 genome sequencing,Paenibacillus glacialis DSM 22343,Korea University,2744054794,p__Bacillota,c__Bacilli,o__Paenibacillales,Paenibacillaceae,g__Paenibacillus,s__Paenibacillus glacialis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,Soil,India,5700092,5471,Paenibacillus,NA,glacialis,NA,Paenibacillus glacialis,10,35,3.5
2915371947,Bacteria,Permanent Draft,Genome Sequencing of Pseudonocardia sp. C8,Pseudonocardia sp. C8,University of Tuebingen,2915371947,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,Pseudonocardiaceae,g__Pseudonocardia,s__Pseudonocardia sp014267175,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Nepal: Bansgadi,NA,Nepal,6241701,5888,Pseudonocardia,NA,sp.,NA,Pseudonocardia sp.,5,19,3.8
2775507281,Bacteria,Finished,Burkholderia Genome sequencing - Northern Arizona University,Burkholderia sp. MSMB617WGS,Northern Arizona University,2775507281,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Burkholderia,s__Burkholderia savannae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Australia: Tanami East, Northern Territory",NA,Australia,6913798,5953,Burkholderia,NA,sp.,NA,Burkholderia sp.,10,33,3.3
3002779868,Bacteria,Permanent Draft,Whole genome sequencing and assembly of denitrifying soil isolates,Pseudoxanthomonas sp. PXM01,University of Chicago,3002779868,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,Xanthomonadaceae,g__Pseudoxanthomonas_A,s__Pseudoxanthomonas_A sp014851815,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,USA,NA,USA,4176775,3957,Pseudoxanthomonas,NA,sp.,NA,Pseudoxanthomonas sp.,11,11,1
2982317912,Bacteria,Finished,Genome of Anaeromyxobacter sp. from paddy soil,Anaeromyxobacter oryzae Red232,National Institute of Advanced Industrial Science and Technology,2982317912,p__Myxococcota,c__Myxococcia,o__Myxococcales,Anaeromyxobacteraceae,g__Anaeromyxobacter,s__Anaeromyxobacter oryzae,Yes,Yes,Environmental,Terrestrial,Paddy field/soil,Soil,Unclassified,Japan:Niigata,Agricultural soil,Japan,6720545,5988,Anaeromyxobacter,NA,oryzae,NA,Anaeromyxobacter oryzae,7,35,5
8033877553,Bacteria,Permanent Draft,Genome mining of actinomycete strains to discover natural products,Streptomyces virginiae NRRL ISP-5094,"University of Illinois, Urbana-Champaign",8033877553,p__Actinomycetota,c__Actinomycetes,o__Streptomycetales,Streptomycetaceae,g__Streptomyces,s__Streptomyces virginiae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"USA: near Roanoke, Virginia",NA,USA,8318538,7703,Streptomyces,NA,virginiae,NA,Streptomyces virginiae,19,35,1.8421052631578947
2915350061,Bacteria,Permanent Draft,Genome Sequencing of Sporosarcina sp. LAM9210,Sporosarcina sp. LAM9210,Chinese Academy of Agricultural Scineces,2915350061,p__Bacillota,c__Bacilli,o__Bacillales_A,Planococcaceae,g__Sporosarcina,s__Sporosarcina jiandibaonis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Shandong Province,NA,China,3630029,3841,Sporosarcina,NA,sp.,NA,Sporosarcina sp.,8,36,4.5
2791355480,Bacteria,Finished,Bacillus sp. FJAT-45348 genome sequencing,Bacillus sp. FJAT-45348,Fujian Academy of Agricultural Sciences,2791355480,p__Bacillota,c__Bacilli,o__Bacillales_H,Salisediminibacteriaceae,g__Alteribacter,s__Alteribacter populi,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China,NA,China,4431643,4217,Bacillus,NA,sp.,NA,Bacillus sp.,14,46,3.2857142857142856
2703719187,Bacteria,Finished,Pseudomonas sp. S4G9,Pseudomonas sp. S4G9,University of Delaware,2703719187,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E sp002843605,Yes,Yes,Environmental,Terrestrial,Sand,Soil,Unclassified,"Bowling Green, OH",NA,NA,6767894,6347,Pseudomonas,NA,sp.,NA,Pseudomonas sp.,8,38,4.75
2956859713,Bacteria,Finished,Spirosoma montaniterrae DY10,Spirosoma montaniterrae DY10,Seoul Womens University,2956859713,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,Spirosomataceae,g__Spirosoma,s__Spirosoma montaniterrae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"South Korea: Mt. Deogyusan, Jeonbuk Province",NA,South Korea,5797678,5166,Spirosoma,NA,montaniterrae,NA,Spirosoma montaniterrae,18,16,0.8888888888888888
3006594636,Bacteria,Permanent Draft,Streptomyces sp. Tu 3180 genome sequencing,Streptomyces sp. Tu 3180,University of Tuebingen,3006594636,p__Actinomycetota,c__Actinomycetes,o__Streptomycetales,Streptomycetaceae,g__Streptomyces,s__Streptomyces sp009852415,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,NA,NA,8634962,7731,Streptomyces,NA,sp.,NA,Streptomyces sp.,26,50,1.9230769230769231
3002214937,Bacteria,Permanent Draft,Microvirga pudoricolor BT291 genome sequencing,Microvirga pudoricolor BT291,Seoul Womens University,3002214937,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,Beijerinckiaceae,g__Microvirga,s__Microvirga pudoricolor,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,South Korea: Uijeongbu-si,NA,South Korea,4774041,4629,Microvirga,NA,pudoricolor,NA,Microvirga pudoricolor,12,33,2.75
2898631135,Bacteria,Permanent Draft,Actinomadura montaniterrae CYP1-1B genome sequencing,Actinomadura montaniterrae CYP1-1B,Northeast Agricultural University,2898631135,p__Actinomycetota,c__Actinomycetes,o__Streptosporangiales,Streptosporangiaceae,g__Spirillospora,s__Spirillospora montaniterrae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Thailand: Chaiyaphum Province,NA,Thailand,10704999,10480,Actinomadura,NA,montaniterrae,NA,Actinomadura montaniterrae,16,47,2.9375
2826910767,Bacteria,Permanent Draft,Large-scale bioinformatics analysis of Bacillus genomes,Bacillus pseudomycoides AFS095077,"University of North Carolina, Chapel Hill",2826910767,p__Bacillota,c__Bacilli,o__Bacillales,Bacillaceae_G,g__Bacillus_A,s__Bacillus_A pseudomycoides,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,USA: Iowa,NA,USA,5569570,6043,Bacillus,NA,pseudomycoides,NA,Bacillus pseudomycoides,9,34,3.7777777777777777
2856602953,Bacteria,Permanent Draft,Couchioplanes caeruleus DSM 43634 genome sequencing,Couchioplanes caeruleus DSM 43634,University College Dublin,2856602953,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,Micromonosporaceae,g__Actinoplanes,s__Actinoplanes caeruleus,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,Soil,NA,8360800,8251,Couchioplanes,NA,caeruleus,NA,Couchioplanes caeruleus,15,39,2.6
2999993716,Bacteria,Permanent Draft,Genome sequencing of Rhodospirillaceae bacterium SYSU D60009,Rhodospirillaceae bacterium SYSU D60009,Sun Yat-Sen University,2999993716,p__Pseudomonadota,c__Alphaproteobacteria,o__Dongiales,Dongiaceae,g__Dongia_A,s__Dongia_A deserti,Yes,Yes,Environmental,Terrestrial,Sand,Soil,Desert,China,NA,China,6132710,6110,Rhodospirillaceae,NA,bacterium,NA,Rhodospirillaceae bacterium,7,33,4.714285714285714
8056956968,Bacteria,Permanent Draft,Arthrobacter hankyongi I2-34 genome sequencing,Arthrobacter hankyongi I2-34,Hankyong National University,8056956968,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,Micrococcaceae,g__Arthrobacter_F,s__Arthrobacter_F hankyongi,Yes,Yes,Environmental,Terrestrial,Wetlands,Soil,Unclassified,South Korea: Seoul,NA,South Korea,5186447,4935,Arthrobacter,NA,hankyongi,NA,Arthrobacter hankyongi,8,23,2.875
2907749690,Bacteria,Finished,Burkholderia Genome sequencing - Northern Arizona University,Burkholderia ubonensis MSMB1471WGS,Northern Arizona University,2907749690,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Burkholderia,s__Burkholderia ubonensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Australia: Tanami East, Northern Territory",NA,Australia,7463411,6892,Burkholderia,NA,ubonensis,NA,Burkholderia ubonensis,12,40,3.3333333333333335
2728369162,Bacteria,Permanent Draft,Micromonospora rosaria strain:DSM 803 Genome sequencing and assembly,Micromonospora rosaria DSM 803,Jiangxi Normal University,2728369162,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,Micromonosporaceae,g__Micromonospora,s__Micromonospora rosaria,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,Soil,NA,7379383,6595,Micromonospora,NA,rosaria,NA,Micromonospora rosaria,21,41,1.9523809523809523
2767802278,Bacteria,Permanent Draft,Analysing Pseudmonas diversity in wheat fields in United Kingdom,Pseudomonas sp. 1 R 17,"JOHN INNES CENTRE, NORWICH, UK.",2767802278,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E marginalis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,NA,United Kingdom,7015861,6494,Pseudomonas,NA,sp.,17,Pseudomonas sp.,9,43,4.777777777777778
2823402196,Bacteria,Finished,Genome sequencing of Bdellovibrio bacteriovorus SSB218315,Bdellovibrio bacteriovorus SSB218315,Centro de Biotecnologia Genomica (CBG),2823402196,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,Bdellovibrionaceae,g__Bdellovibrio,s__Bdellovibrio bacteriovorus_C,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Mexico: Reynosa,NA,Mexico,3769537,3650,Bdellovibrio,NA,bacteriovorus,NA,Bdellovibrio bacteriovorus,5,9,1.8
8004153173,Bacteria,Finished,Rhodococcus qingshengii CS98,Rhodococcus qingshengii CS98,"Takasaki Advanced Radiation Research Institute, National Institutes for Quantum and Radiological Science and Technology",8004153173,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,Mycobacteriaceae,g__Rhodococcus_F,s__Rhodococcus_F qingshengii,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,NA,Japan,6726107,6441,Rhodococcus,NA,qingshengii,NA,Rhodococcus qingshengii,9,20,2.2222222222222223
2554235129,Bacteria,Permanent Draft,Klebsiella pneumoniae G5-2 Genome sequencing,Klebsiella pneumoniae G5-2,Shanghai Jiao Tong University,2554235129,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Shanghai,NA,China,5292693,5127,Klebsiella,NA,pneumoniae,NA,Klebsiella pneumoniae,15,103,6.866666666666666
2602042015,Bacteria,Draft,Sinomonas humi MUSC 117,Sinomonas humi MUSC 117,University of Malaya,2602042015,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,Micrococcaceae,g__Sinomonas,s__Sinomonas humi,Yes,Yes,Environmental,Terrestrial,Clay,Soil,Grasslands,"Tanjung Lumpur, Pahang, Malaysia",NA,Malaysia,4416081,3505,Sinomonas,NA,humi,NA,Sinomonas humi,17,20,1.1764705882352942
2907189960,Bacteria,Permanent Draft,Paenibacillus sp. B2(2019) genome sequencing,Paenibacillus sp. B2(2019),Brazilian Center for Research in Energy and Materials (CNPEM),2907189960,p__Bacillota,c__Bacilli,o__Paenibacillales,Paenibacillaceae,g__Paenibacillus,s__Paenibacillus sp000758545,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,United Kingdom: Woodley Reading,NA,United Kingdom,7187707,6612,Paenibacillus,NA,sp.,NA,Paenibacillus sp.,27,54,2
2775507041,Bacteria,Permanent Draft,Whole genome sequence of isolated soil bacteria,Paenibacillus lautus BHU3,Banaras Hindu University,2775507041,p__Bacillota,c__Bacilli,o__Paenibacillales,Paenibacillaceae,g__Paenibacillus,s__Paenibacillus lautus_A,Yes,Yes,Environmental,Terrestrial,Garden,Soil,Unclassified,India,NA,India,6811119,6211,Paenibacillus,NA,lautus,NA,Paenibacillus lautus,25,49,1.96
2791355093,Bacteria,Permanent Draft,Genome sequencing of denitrifying bacteria isolated from neutral and low pH soil,Sinorhizobium sp. A49,Norwegian University of Life Sciences,2791355093,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,Rhizobiaceae,g__Ensifer,s__Ensifer sp002002725,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Norway,NA,Norway,6834237,6486,Sinorhizobium,NA,sp.,NA,Sinorhizobium sp.,13,58,4.461538461538462
2911825887,Bacteria,Finished,Genome Sequencing of Psychrobacter sp. KCTC 72983,Psychrobacter sp. KCTC 72983,Ajou University,2911825887,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Moraxellaceae,g__Psychrobacter,s__Psychrobacter pacificensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Antarctica,NA,Antarctica,3081603,2723,Psychrobacter,NA,sp.,NA,Psychrobacter sp.,2,5,2.5
2784132153,Bacteria,Permanent Draft,Genome-based Taxonomic Classification of Thermoactinomycetaceae,Kroppenstedtia guangzhouensis CGMCC 1.12404,Shanghai Majorbio Bio-pharm Technology Co.,2784132153,p__Bacillota,c__Bacilli,o__Thermoactinomycetales,DSM-45169,g__Kroppenstedtia,s__Kroppenstedtia guangzhouensis,Yes,Yes,Environmental,Terrestrial,Clay,Soil,Agricultural land,NA,NA,NA,3567643,3718,Kroppenstedtia,NA,guangzhouensis,NA,Kroppenstedtia guangzhouensis,8,35,4.375
2989681885,Bacteria,Permanent Draft,Microbacterium hibisci CCTCC AB 2016180,Microbacterium hibisci CCTCC AB 2016180,Xiamen University,2989681885,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,Microbacteriaceae,g__Microbacterium,s__Microbacterium hibisci,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,South Korea,NA,South Korea,3969945,3590,Microbacterium,NA,hibisci,2016180,Microbacterium hibisci,18,40,2.2222222222222223
2916661554,Bacteria,Permanent Draft,The NBRC Genome Sequencing Project for Pollutant-degrading bacteria,Acinetobacter guillouiae NBRC 110550,University of Tokyo,2916661554,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Moraxellaceae,g__Acinetobacter,s__Acinetobacter guillouiae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Japan: University of Tokyo,NA,Japan,4648418,4384,Acinetobacter,NA,guillouiae,NA,Acinetobacter guillouiae,3,7,2.3333333333333335
2866683264,Bacteria,Permanent Draft,Whole-genome analyses of novel actinobacteria,Actinomadura sp. 7K534,Ondokuz Mayis University,2866683264,p__Actinomycetota,c__Actinomycetes,o__Streptosporangiales,Streptosporangiaceae,g__Spirillospora,s__Spirillospora livida,Yes,Yes,Environmental,Terrestrial,Sand,Soil,Desert,Turkmenistan: Mary,NA,NA,8085395,7803,Actinomadura,NA,sp.,NA,Actinomadura sp.,22,43,1.9545454545454546
8067107591,Bacteria,Permanent Draft,Corallococcus exiguus CA048,Corallococcus exiguus CA048,Aberystwyth University,8067107591,p__Myxococcota,c__Myxococcia,o__Myxococcales,Myxococcaceae,g__Corallococcus,s__Corallococcus exiguus,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,United Kingdom: Carmarthen,NA,United Kingdom,10349048,8918,Corallococcus,NA,exiguus,NA,Corallococcus exiguus,17,17,1
8053819734,Bacteria,Permanent Draft,Large-scale bioinformatics analysis of Bacillus genomes,Bacillus wiedmannii AFS032503,"University of North Carolina, Chapel Hill",8053819734,p__Bacillota,c__Bacilli,o__Bacillales,Bacillaceae_G,g__Bacillus_A,s__Bacillus_A wiedmannii,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,USA: New York,NA,USA,5631808,6035,Bacillus,NA,wiedmannii,NA,Bacillus wiedmannii,8,34,4.25
2839659378,Bacteria,Permanent Draft,Genome sequencing of bacterial isolates from karst cave,Noviherbaspirillum sedimenti K1S02-23,Chinese Academy of Sciences,2839659378,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Paucimonas,s__Paucimonas sedimenti,Yes,Yes,Environmental,Terrestrial,Garden,Soil,Unclassified,China: Guizhou,NA,China,5038077,4824,Noviherbaspirillum,NA,sedimenti,NA,Noviherbaspirillum sedimenti,3,8,2.6666666666666665
2915543611,Bacteria,Permanent Draft,Genome Sequencing of Brevibacillus sp. RS1.1,Brevibacillus sp. RS1.1,"Nord Reet UG, Greifswald, Germany",2915543611,p__Bacillota,c__Bacilli,o__Brevibacillales,Brevibacillaceae,g__Brevibacillus,s__Brevibacillus brevis_D,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Viet Nam: Tuan Giao, Dien Bien",NA,Viet Nam,6246682,6085,Brevibacillus,NA,sp.,NA,Brevibacillus sp.,9,33,3.6666666666666665
8055041080,Bacteria,Permanent Draft,Pseudorhizobium tarimense CCTCC_AB_2011011 genome sequencing,Pseudorhizobium tarimense CCTCC_AB_2011011,Zhejiang University,8055041080,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,Rhizobiaceae,g__Neorhizobium,s__Neorhizobium tarimense,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China,NA,China,4863034,5142,Pseudorhizobium,NA,tarimense,NA,Pseudorhizobium tarimense,9,38,4.222222222222222
8070294967,Bacteria,Permanent Draft,Whole genome sequencing and assembly of denitrifying soil isolates,Acidovorax sp. sif0632,University of Chicago,8070294967,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Acidovorax,s__Acidovorax facilis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,USA,NA,USA,5526364,5179,Acidovorax,NA,sp.,NA,Acidovorax sp.,7,26,3.7142857142857144
8057836771,Bacteria,Permanent Draft,Shouchella tritolerans FJAT-45399 genome sequencing,Shouchella tritolerans FJAT-45399,Fujian Agriculture and Forestry University,8057836771,p__Bacillota,c__Bacilli,o__Bacillales_H,Bacillaceae_D,g__Shouchella,s__Shouchella tritolerans,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Fujian,NA,China,4621128,4754,Shouchella,NA,tritolerans,NA,Shouchella tritolerans,13,63,4.846153846153846
2588253754,Bacteria,Finished,Dyella japonica A8 Complete Genome Sequencing,Dyella japonica A8,University of Hong Kong,2588253754,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,Rhodanobacteraceae,g__Dyella,s__Dyella japonica_C,Yes,Yes,Environmental,Terrestrial,Garden,Soil,Unclassified,Malaysia: Rimba Ilmu,Forest soil,Malaysia,4831185,3868,Dyella,NA,japonica,NA,Dyella japonica,15,12,0.8
8022703210,Bacteria,Permanent Draft,Aerobic endospore-forming bacteria genome sequencing and assembly,Bacillus sp. SDF0016,University of Brasilia,8022703210,p__Bacillota,c__Bacilli,o__Bacillales,Bacillaceae,g__Bacillus,s__Bacillus safensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Brazil,NA,Brazil,3674191,3878,Bacillus,NA,sp.,NA,Bacillus sp.,17,54,3.176470588235294
2885138553,Bacteria,Permanent Draft,Pedobacter psychroterrae RP-1-14 genome sequencing,Pedobacter psychroterrae RP-1-14,Kyonggi University,2885138553,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,Sphingobacteriaceae,g__Pedobacter,s__Pedobacter psychroterrae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Svalbard: Spitsbergen,NA,Svalbard,5112203,4421,Pedobacter,NA,psychroterrae,NA,Pedobacter psychroterrae,22,10,0.45454545454545453
2898492047,Bacteria,Permanent Draft,Massilia aromaticivorans ML15P13 genome sequencing,Telluria aromaticivorans ML15P13,Seoul National University,2898492047,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Telluria,s__Telluria aromaticivorans,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Norway: Svalbard,NA,Norway,5232923,4694,Telluria,NA,aromaticivorans,NA,Telluria aromaticivorans,11,17,1.5454545454545454
2865939440,Bacteria,Permanent Draft,Leifsonia sp. genome sequencing,Leifsonia sp. NCR5,La Trobe University,2865939440,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,Microbacteriaceae,g__Leifsonia,s__Leifsonia sp002105485,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Australia: Melbourne,NA,Australia,4222396,4094,Leifsonia,NA,sp.,NA,Leifsonia sp.,19,29,1.5263157894736843
8050694609,Bacteria,Permanent Draft,Burkholderia Genome sequencing - Northern Arizona University,Burkholderia ubonensis MSMB1801WGS,Northern Arizona University,8050694609,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Burkholderia,s__Burkholderia ubonensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Australia: Tanami East, Northern Territory",NA,Australia,7514521,7029,Burkholderia,NA,ubonensis,NA,Burkholderia ubonensis,10,38,3.8
2911219891,Bacteria,Permanent Draft,Genome Sequencing of Dyella sp. 7MK23,Dyella sp. 7MK23,Sun Yat-Sen University,2911219891,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,Rhodanobacteraceae,g__Dyella_B,s__Dyella_B acidiphila,Yes,Yes,Environmental,Terrestrial,Temperate forest,Soil,Mineral soil,China: Guangdong Province,NA,China,5067993,4454,Dyella,NA,sp.,NA,Dyella sp.,19,19,1
2899655256,Bacteria,Permanent Draft,Pedobacter cryophilus AR-3-17 genome sequencing,Pedobacter cryophilus AR-3-17,Kyonggi University,2899655256,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,Sphingobacteriaceae,g__Pelobium,s__Pelobium cryophilum,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Svalbard: Midtre Lovenbreen,NA,Svalbard,3991797,3595,Pedobacter,NA,cryophilus,NA,Pedobacter cryophilus,19,2,0.10526315789473684
8046438946,Bacteria,Permanent Draft,Geothrix paludis SG195 genome sequencing,Geothrix paludis SG195,Fujian Agriculture and Forestry University,8046438946,p__Acidobacteriota,c__Holophagae,o__Holophagales,Holophagaceae,g__Geothrix,s__Geothrix paludis,Yes,Yes,Environmental,Terrestrial,Agricultural land,Soil,Unclassified,China,NA,China,3407788,3151,Geothrix,NA,paludis,NA,Geothrix paludis,6,7,1.1666666666666667
2838804460,Bacteria,Permanent Draft,Kribbella monticola NEAU-SW521 genome sequencing,Kribbella monticola NEAU-SW521,Northeast Agricultural University,2838804460,p__Actinomycetota,c__Actinomycetes,o__Propionibacteriales,Kribbellaceae,g__Kribbella,s__Kribbella monticola,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Harbin,NA,China,8028932,7560,Kribbella,NA,monticola,NA,Kribbella monticola,28,46,1.6428571428571428
2826325882,Bacteria,Finished,Pseudomonas protegens H78 Genome sequencing,Pseudomonas protegens H78,Shanghai Jiao Tong University,2826325882,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E protegens,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"China: Shanghai, Fengxian",NA,China,7032394,6543,Pseudomonas,NA,protegens,NA,Pseudomonas protegens,8,32,4
2848527897,Bacteria,Finished,Rahnella aquatilis MEM40 genome sequencing,Rahnella aquatilis MEM40,Hubei University,2848527897,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,Enterobacteriaceae,g__Rahnella,s__Rahnella aceris,Yes,Yes,Environmental,Terrestrial,Garden,Soil,Unclassified,China: Hubei,NA,China,5596168,5293,Rahnella,NA,aquatilis,NA,Rahnella aquatilis,14,87,6.214285714285714
8046837447,Bacteria,Permanent Draft,Whole genome sequencing of Pseudomonas species from the Culture Collection University of Gothenburg (CCUG),Ideonella azotifigens CCUG 75669,University of Gothenburg - CCUG,8046837447,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Ideonella,s__Ideonella azotifigens,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"USA: NY, Ithaca",NA,USA,7290851,6570,Ideonella,NA,azotifigens,NA,Ideonella azotifigens,11,35,3.1818181818181817
2848291268,Bacteria,Permanent Draft,Glutamicibacter sp. 0426 genome sequencing,Glutamicibacter sp. 0426,Shandong University,2848291268,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,Micrococcaceae,g__Glutamicibacter,s__Glutamicibacter nicotianae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Shandong,NA,China,3549469,3402,Glutamicibacter,NA,sp.,NA,Glutamicibacter sp.,4,28,7
2899909528,Bacteria,Permanent Draft,Genome sequencing and assembly of bacteria from soil samples used in the long-term dormancy experiment,Variovorax sp. KBS0712,Indiana University,2899909528,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Variovorax,s__Variovorax boronicumulans,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"USA: Hickory Corners, MI",NA,USA,7209490,6785,Variovorax,NA,sp.,NA,Variovorax sp.,5,25,5
